Chemical,ChemicalID,PMID_List,length
"d-glucono-1,5-lactone",C010730,[22752173],1
dGTP,C029603,[19246762],1
daidzein,C004742,"[11195098, 12747214, 16049955]",3
daidzin,C013908,[11195098],1
daptomycin,D017576,"[29164655, 24866700]",2
daucosterol,C011015,[24917072],1
daunorubicin,D003630,"[19040244, 23417448]",2
decanedioic acid,C011107,[19708882],1
decursinol,C101278,[20155945],1
decursinol angelate,C101278,[20155945],1
deferoxamine,D003676,[27618884],1
dehydroalanine,C015102,[20106660],1
deoxy-sugars,D003837,[17334710],1
deoxycholic acid,D003840,"[29889418, 18050942, 21551335]",3
deoxycholic acids,D003840,[8784740],1
deoxynivalenol,C007262,"[20576129, 15069674, 22098388, 27664721, 26861361, 25427716, 18308354]",7
deoxysugar,D003837,[10066498],1
deoxysugars,D003837,[14727096],1
deoxyxylulose phosphate,C492551,[23148661],1
depsidones,C000875,[22372603],1
depsipeptide,D047630,"[25742265, 25865308, 21439483]",3
desferal,D003676,[21848068],1
desferoxamine B,D003676,[21848068],1
desferrioxamine,D003676,"[23963177, 16151202, 21342469, 26183915, 24466012]",5
desferrioxamine B,D003676,"[21313893, 21848068]",2
desferrioxamine E,C561576,[16151202],1
desferrioxamines,D003676,[23963177],1
deuterium,D003903,"[27822648, 26061478]",2
dextran T500,D003911,[3901922],1
dhb,C003870,[22609919],1
dhurrin,C011220,[26548317],1
diacetyl,D003931,"[22924897, 12382680]",2
diaminopimelate,D003960,[26350134],1
diazepinomicin,C492422,[18722414],1
diazotized sulfanilic acid,C000469,[12422510],1
dibenzothiophene,C016366,[15765609],1
dibromophakellin,C541047,[20061160],1
dibutyl phthalate,D003993,[19577444],1
dicarboxylic acid,D003998,[26466717],1
dichloromethane,D008752,"[12788752, 24663118, 23296917, 28953997, 23342508, 29158025]",6
dicumarol,D001728,[11109318],1
diethyl ether,D004986,[21744110],1
diethyl succinate,C052819,[19441818],1
difficidin,C054843,[17704766],1
dihydro-beta-agarofuran,C079978,[24633227],1
dihydrochalcone,C015812,[20190089],1
dihydrodaidzein,C433163,[11195098],1
dihydroquinones,C403008,[23344968],1
dihydrosphaerolone,C420978,[21375710],1
diketopiperazine,D054659,"[25416124, 24857962, 28535606, 24097052]",4
diketopiperazines,D054659,"[26036671, 3197807, 22747978, 25724963]",4
dimethyl sulfide,C004784,"[17272727, 24416282, 19220400, 28358818]",4
dimethyl sulfoxide,D004121,"[28820614, 11132960]",2
dimethyl trisulfide,C054170,[28358818],1
dimethyl-sulfoxide,D004121,[20583475],1
dimethylamine,C034516,[28425950],1
dimethylsulfide,C004784,[10841973],1
dimethylsulfoniopropionate,C068078,"[17272727, 16913924, 24848489, 19220400, 10841973]",5
dinactin,C016520,[27486824],1
dioscin,C019357,[24917072],1
diospyrin,C043546,[26323856],1
dioxane,C025223,[26195520],1
dioxolane,C010962,[8819841],1
dipeptide,D004151,"[18392685, 25666178]",2
dipeptides,D004151,"[23065379, 24317473, 24445449]",3
diphenyl ethers,D010647,[28714207],1
disaccharide,D004187,"[29066791, 19968554]",2
discodermolide,C071229,"[18256706, 17560324]",2
disulfide,D004220,"[18629474, 26350134]",2
diterpene,D004224,"[12788752, 15303321, 26475187, 20061160]",4
diterpene alkaloids,D000077743,[19946877],1
diterpenes,D004224,"[11960184, 27231874, 26475187, 21193844]",4
diterpenoid,D004224,"[23771021, 15303321]",2
diterpenoids,D004224,"[23771021, 23350846, 12828468]",3
ditryptophenaline,C437184,[27548127],1
djalonensone,C018206,[24689437],1
dopamine,D004298,[19806188],1
dox,D004317,"[29084681, 23775636]",2
doxorubicin,D004317,"[27634222, 20508927]",2
echinomycin,D004448,[26593927],1
echinomycin A,D004448,[22763704],1
ectoine,C045628,"[25372346, 26432787, 22033567]",3
eicosanoid,D015777,"[24500481, 24394195, 2507445]",3
eicosanoids,D015777,[2507445],1
elaiophylin,C033279,"[28472671, 27757508, 28717220, 2257019, 22586998, 27554496]",6
elaiophylin (,C033279,[2272919],1
elaiophylins,C033279,[28717220],1
elatol,C485576,[12919806],1
elemol,C033011,[27450433],1
ellagic acid,D004610,[23615124],1
ellagitannin,C013515,[26189645],1
ellagitannins,D047348,"[26189645, 23615124]",2
emodin,D004642,[22714101],1
enediyne,D053281,"[27220082, 20154113, 26318027]",3
enediynes,D053281,[20624727],1
enniatins,C100264,"[22714101, 27916854, 21742008]",3
enterobactin,D004758,"[28283524, 11267771]",2
enterocin,C012306,[23963911],1
epicatechin,D002392,"[22475000, 24353343]",2
epicatechin gallate,C062669,[22475000],1
epicatechin vanillate,C000628502,[22475000],1
epigallocatechin,C057580,[22475000],1
epigallocatechin gallate,C045651,[27487455],1
epothilone,D034261,"[23551077, 17965706, 12363340, 23462001, 14651865, 28535774]",6
epothilones,D034261,"[23551077, 17367395, 28535774]",3
epoxide,D004852,"[28246174, 25097259, 9477250]",3
epoxides,D004852,[9477250],1
equisetin,C024509,[26160390],1
ergosterol,D004875,"[17233750, 29248948]",2
ergosterol peroxide,C036071,[29248948],1
ergot alkaloid,D004876,[27548127],1
ergot alkaloids,D004876,[6867164],1
ergotamine,D004878,[27548127],1
erythromycin,D004917,"[28044276, 24236194, 24341557, 23002228, 26564143, 12698320, 26431970, 20606771, 26272095]",9
erythronolide B,C038315,[26431970],1
essential oil,D009822,"[22527057, 22416718, 16632004, 15303321, 21830789, 27562017, 25863020, 27272544]",8
essential oils,D009822,"[25594290, 22527057, 25594287, 28394295, 26802522, 23924942, 23360506, 23210781, 23566822, 26916832, 25863020, 21843946]",12
essential-oil,D009822,[22527057],1
ester,D004952,"[22036764, 17379718]",2
estrone,D004970,[23708453],1
estrone-3-sulfate,C017296,[23708453],1
ethanol,D000431,"[27192145, 27166532, 24193053, 24151782, 9306409, 27005411, 18242107, 25489722, 26985927, 15141066, 21281165, 27128202, 20580869, 23171666, 6422823, 16597967, 27192209, 27486691, 20606771]",19
ether,D004986,"[8882807, 20580869]",2
ethers,D004987,[16305145],1
ethidium bromide,D004996,[8037572],1
ethyl acetate,C007650,"[22806873, 29084681, 28425950, 27754712, 27624095, 10409050, 27614749, 24301768, 28044276, 28603127, 28785779, 24948949, 25406714, 27020867, 15128573, 25656264, 23296917, 23979826, 25737024, 25918790, 23975673, 27757508, 26864220, 28699251, 28535606, 28648623, 26985927, 22747978, 15141066, 20551989, 22332977, 25742265, 28219296, 23775636, 24097052, 29278781, 28647504, 24453828, 15189291, 24037513, 27842527, 19842066, 25525717]",43
ethyl clofibrate,D002994,[20392474],1
ethyl esters,C465446,[19548685],1
ethyl gallate,C048734,[22475000],1
ethyl hexanoate,C079237,"[19919120, 19441818]",2
ethyl octanoate,C549324,[19441818],1
ethyl-acetate,C007650,"[28603127, 23171666]",2
ethylbenzene,C004912,[27538581],1
ethylene,C036216,"[24869797, 20687809, 3541827, 11402212]",4
etoposide,D005047,[24689437],1
eugenol,D005054,"[16230654, 351383]",2
evernic acid,C050847,"[27465850, 28255686]",2
farinamycin,C569083,[21939253],1
farnesyl diphosphate,C004808,"[22425978, 19031897]",2
fatty acid,D005227,"[22129602, 28044276, 29094115, 14962038, 22611356, 21156025, 12969296, 24847000, 12672588, 26578313, 25195246, 24588891, 25222744, 28293709, 10500159, 26893022, 16332338, 23341601, 26272259, 11526020, 21551335, 12542338, 16957232, 18031339, 23239420]",25
fatty acids,D005227,"[25198138, 29113654, 25958185, 27511455, 23993531, 27979131, 21156025, 22753528, 25367342, 18421431, 25489722, 28846625, 22802156, 24445449, 26893022, 24690912, 11526020]",17
fengycin,C049972,"[25764969, 17898845]",2
fengycins,C049972,[24866700],1
ferric chloride,C024555,[27002332],1
ferric ion,D007501,[29103733],1
ferrioxamine,C002577,[23777274],1
ferulic acid,C004999,"[22852578, 23206756]",2
filipin,D005372,"[25715784, 28728974]",2
fistularin-3,C076216,[22476960],1
flavanone,C028610,"[22202970, 25970559, 22427498, 22039419]",4
flavanones,D044950,[22039419],1
flavin,C024132,[24779771],1
flavin mononucleotide,D005486,[17997835],1
flavins,D005415,[28431213],1
flaviolin,C041659,[10476972],1
flavone,C043562,"[25970559, 14574103, 28931063, 22427498]",4
flavones,D047309,"[12747214, 28394295, 14574103, 28931063, 24070833, 29043664]",6
flavonoid,D005419,"[26303982, 22580697, 23250224, 12746520, 26638490, 19813054, 12747214, 25970559, 28705748, 22475000, 27487455, 23924942, 21782215, 28219296, 28392457, 24353343, 28865203, 11772620, 22039419]",19
flavonoids,D005419,"[26303982, 29232373, 22580697, 27166532, 11195098, 28764775, 23266268, 28603127, 18500633, 12746520, 26638490, 25553429, 22367905, 20797445, 12747214, 28394295, 22202970, 25970559, 20190089, 21796935, 17284841, 18782083, 20396902, 26001558, 23865390, 23615124, 22475000, 25353366, 23851446, 27251587, 27179537, 22427498, 29043664, 22654215, 26916832, 24029746, 28392457, 24353343, 28865203, 10476972, 27486691, 24206732, 22039419, 27450433, 27842527, 25765308, 25863020, 23885762, 23255442, 28623383, 21610729, 23397456, 26070141]",53
flavonol,C041477,[29043664],1
flavonols,D044948,"[12747214, 28394295, 23615124, 24070833, 24353343, 11772620]",6
fluconazole,D015725,[29049321],1
fluoranthene,C007738,[27037123],1
fluorescein diacetate,C018506,[28051856],1
fluorine,D005461,[19629474],1
fluoroquinolone,D024841,[20738404],1
fluoroquinolones,D024841,[25646964],1
fluvibactin,C082368,[27129958],1
folates,D005492,[28431213],1
formaldehyde,D005557,[26861361],1
formamide,C031066,"[3253407, 3073060]",2
formate,C030544,[3253407],1
formic acid,C030544,[16305145],1
formononetin,C007768,[20087740],1
formosanin C,C067584,[24917072],1
fosfomycin,D005578,[18544530],1
free fatty acids,D005230,[26270176],1
free radicals,D005609,[17295279],1
fructose,D005632,"[24445449, 28392457]",2
fucose,D005643,[16436433],1
fumaquinone,C502104,[20067528],1
fumarate,D005650,"[7812438, 27631134]",2
fumarprotocetraric acid,C026307,"[27091386, 23374132]",2
fumonisins,D037341,"[16715543, 25427716]",2
funicone,C000594065,[19468317],1
furan,C039281,"[23084934, 20864476]",2
furans,D005663,[23737449],1
fusarenon-X,C002469,[15069674],1
fusaric acid,D005669,"[15553244, 27916854, 20814727, 26655755]",4
fusarinine C,C010966,[26183915],1
fusaristatin A,C522435,[24175613],1
galactolipids,D038983,[16038192],1
galactose,D005690,"[20403429, 24690912]",2
gallic acid,D005707,"[25128676, 23615124]",2
gallic acids,D005707,[23480526],1
gallocatechin,C057580,[28407906],1
galtamycin,C049641,[15835721],1
galtamycin B,C542268,"[15835721, 15835722]",2
gamma-actinorhodin,C098846,"[21037009, 24906569]",2
gamma-butyrobetaine,C002889,[14595781],1
gamma-butyrolactone,D015107,"[21800617, 21342469, 16463161, 18628968]",4
gamma-butyrolactones,D015107,"[10943372, 27288284, 21342469, 10513843, 12165483, 23084934]",6
gamma-lactone,C430364,[6800032],1
geldanamycin,C001277,"[22129602, 28472671, 21672101, 8140285, 18688611, 27554496]",6
genistein,D019833,"[11195098, 26638490, 12747214, 16049955]",4
genistin,C040641,[11195098],1
gentamicin,D005839,"[21596505, 28754206]",2
gentamicin B,C023804,[28754206],1
gentamicin C1a,C100093,[28754206],1
gentamicins,D005839,[28754206],1
gentamycin,D005839,[20499649],1
gentiopicrin,C012997,[19678535],1
gentisic acid 5-O-beta-d-xylopyranoside,C509446,[28072559],1
geosmin,C001278,"[24236194, 22039990, 15617444, 23555999, 17489431, 19010510, 19031897]",7
geranyl diphosphate,C511282,[22039990],1
ginsenoside,D036145,"[9436194, 15969025, 17764709]",3
ginsenoside Rb1,C442759,[17764709],1
ginsenoside Rg3,C097367,[17764709],1
ginsenosides,D036145,"[9436194, 17764709]",2
glidobactin A,C057878,[23095088],1
gliotoxins,D005912,[11109318],1
glucans,D005936,"[21526440, 3882051]",2
gluconapin,C552436,[24029746],1
gluconic acid,C030691,[24906569],1
gluconolactone,C010730,[19884772],1
glucosamine-6-phosphate,C001293,[17997835],1
glucose,D005947,"[29084681, 28770367, 27822648, 3772735, 24620603, 25775804, 15066829, 21362001, 20541122, 15069674, 14962038, 19554039, 29261142, 3253407, 25690418, 16151202, 25421573, 10907551, 25970559, 26961755, 19884772, 22179145, 22077225, 28754206, 27091386, 28917933, 29151161, 8485146, 15009417, 2614673, 27312649, 3541827, 20392474, 24445449, 23775636, 17953685, 24906569, 3343216, 12103361, 21520016, 22101842, 22752173, 18031339, 7142955, 27129958, 12324314, 16579461, 3913845]",48
glucoside,D005960,"[22611356, 20530195]",2
glucosides,D005960,[24004258],1
glucosinolate,D005961,"[19554039, 18183453, 25629545, 25362058]",4
glucosinolates,D005961,"[19554039, 18183453]",2
glutamate,D018698,"[3253407, 23924726, 21520016]",3
glutamic acid,D018698,[16597967],1
glutamine,D005973,"[25666178, 11790734, 23924726]",3
glutaraldehyde,D005976,[9582417],1
glutarimide,C007864,[26036671],1
glutathione,D005978,"[17344339, 25523369, 25532893, 24131360, 27072394, 26350134, 20236162]",7
glycan,D011134,"[28931093, 24646695, 22992684]",3
glycans,D011134,"[28931093, 27393306]",2
glyceraldehyde-3-phosphate,D005986,[27422837],1
glycerol,D005990,"[19919120, 21800617, 28820614, 27002332, 12839737, 7764965, 7765099, 19884772, 22179145, 22082189, 25290220, 11772620, 12103361]",13
"glycerol 1-hydroxy-2,5-dimethyl benzoate",C000614445,[26975378],1
glycine,D005998,"[19919120, 27822648, 20837534, 18050942, 10763748, 17997835, 3073060, 23457254, 23457628, 20423905]",10
glycine betaine,D001622,"[25372346, 23457628]",2
glycocholic acid,D006000,[18050942],1
glycodeoxycholic acid,D006002,[18050942],1
glycogen,D006003,"[9781871, 21283831]",2
glycolipids,D006017,"[15958783, 21667084]",2
glycopeptide,D006020,"[22710162, 17334710, 25114137, 15870305, 25301375, 21643706]",6
glycoside,D006027,"[22611356, 25421573, 26961755, 26039483]",4
glycosides,D006027,"[25735878, 25421573, 21796935, 26961755, 20378050, 26040909, 27842527, 15740876, 23397456]",9
glyoxylate,C031150,[14595781],1
glyphosate,C010974,[17557843],1
goadsporin,C449027,"[11858658, 28442735, 25036825]",3
gold-cyanide,C043041,[24291311],1
granaticin,C009811,"[28800088, 25687102]",2
granaticin A,C009811,[16049955],1
granaticin B,C015907,[26195520],1
graphite,D006108,[22985848],1
greigite,C111959,[25603340],1
guanidine,D019791,[26689539],1
guanine,D006147,[17997835],1
guanosine,D006151,[25868618],1
halichondrin B,C070519,[17560324],1
halogen,D006219,[22712411],1
halothane,D006221,[367217],1
hapalosin,C111358,[26335778],1
harmine,D006247,[27863465],1
hectochlorin,C454807,"[18001088, 26222584]",2
heme,D006418,"[29164655, 14716467]",2
heptylprodigiosin,C473964,[18031339],1
hexadecanoic acid,D019308,"[19708882, 19441818]",2
"hexahydro-3-(2-methylpropyl)pyrrole[1,2a]pyrazine-1,4-dione",C000612400,[28425950],1
hexane,D006586,"[27166532, 24193053, 28603127, 25432345, 21281165, 28219296, 18605256, 15189291, 25863020, 27033000]",10
hexanedioic acid dioctyl ester,C013966,[11302198],1
hexanoic acid,C037652,[26270176],1
hierridin B,C116944,[23922738],1
histidine,D006639,"[3253407, 25821125, 16538400]",3
histidine betaine,C007928,[24084783],1
holomycin,C015265,[24141121],1
homoserine lactone,C088386,"[16805438, 8932319, 10500159, 20705730, 17028277]",5
homoserine lactones,C088386,"[8932319, 17351813, 25525717]",3
hormaomycin,C510371,"[26287218, 21439483]",2
hormaomycins,C510371,[26287218],1
hydrocarbon,D006838,"[28425950, 29233013]",2
hydrocarbons,D006838,"[23981049, 26578313, 11536462, 26335778]",4
hydrochloric acid,D006851,[16305145],1
hydrogen,D006859,"[25958185, 19191979, 29018917, 24151782, 24888481, 17447238, 20731719, 22101842, 16772275]",9
hydrogen cyanide,D006856,"[21360140, 28807055, 25512025, 10763748, 10869066, 19486283, 26655755, 11200428, 20884343, 16843655, 20089046, 23708134, 11673439, 12732958, 22426436]",15
hydrogen peroxide,D006861,"[22582055, 28454711, 25523369, 25673666, 25824130, 28219296, 26350134]",7
hydrogen sulfide,D006862,[29889418],1
hydrogen sulphide,D006862,[25559405],1
hydroperoxide,D006861,[17295279],1
hydroquinone,C031927,[17309298],1
hydroxocobalamin,D006879,[29259082],1
hydroxybenzoic acid,C017616,[23480526],1
hydroxycinnamic acid,D003373,"[26303982, 23480526]",2
hydroxycinnamic acids,D003373,[24029746],1
hydroxyl radicals,D017665,[12423020],1
hydroxylamines,D006898,[10656576],1
hydroxypropyl-beta-cyclodextrin,D000073738,[24620603],1
hydroxytyrosol,C005975,[26931616],1
hygromycin,C026273,[14687969],1
hygromycin B,D006921,[25892546],1
imine,D007097,[10656576],1
indigoidine,C446045,"[28221784, 22582055, 24593309, 11790734, 29196786, 23373695, 29155332]",7
indole,C030374,"[29889418, 24617253, 29259082, 15303321, 22978675, 27631134]",6
indole 3-acetic acid,C030737,[25970745],1
indole acetic acid,C030737,"[25304022, 22748594, 12732958]",3
indole alkaloids,D026121,"[11960184, 26349774]",2
indole-2-carboxylic acid,C058980,[25690418],1
indole-3-acetic acid,C030737,"[23349065, 25512025, 28440700, 25412549, 25725457, 28690133, 14506862, 22978675]",8
indole-3-carbinol,C016517,[26638490],1
indole-3-carboxaldehyde,C012381,[29119317],1
indole-3-carboxylic acid,C012382,"[26638490, 20403429]",2
indoles,D007211,[15303321],1
indolmycin,C001447,[27373069],1
inorganic phosphate,D010710,"[12730372, 14962038, 2614673, 2998122, 9477250]",5
inosine,D007288,[25868618],1
inositol,D007294,"[15969025, 24409758]",2
ipilimumab,D000074324,[28923537],1
iridium oxide,C044458,[28746900],1
iridoid glycosides,D057889,[26039483],1
iron,D007501,"[20648021, 25250530, 26241505, 23963177, 10931301, 29108108, 15980861, 27199346, 10763748, 28283524, 29103733, 26861677, 22698715, 29212086, 26686620, 23297839, 29087175, 26832668, 24236194, 26704531, 25488342, 23435890, 11267771, 26183915, 24888481, 22381697, 28000056, 23319638, 14716467, 20089046, 22717884, 15242282, 27523480, 17191682, 12732958, 24739259, 27480638, 20738404, 21313893, 17028277, 15528670, 6347279, 25182327, 21848068, 27919802]",45
iron oxides,C000499,[25724963],1
isatin,D007510,[24875126],1
iso-obtusol,C485577,[12919806],1
isoamyl acetate,C020377,[19919120],1
isoamyl alcohol,C029683,"[19919120, 19441818]",2
isobutanol,C040507,[19919120],1
isobutyraldoxime O-methyl ether,C022245,[7142955],1
isobutyric acid,C020380,[19441818],1
isocoumarin,D049934,[23192186],1
isocyanide,D003486,[28116768],1
isoflavone,D007529,"[24869797, 25970559, 22427498]",3
isoflavones,D007529,"[11195098, 24869797, 17284841]",3
isogentisin,C018087,[19678535],1
isoleucine,D007532,"[19919120, 27048394, 24317473]",3
isopenicillin N,C006414,[15719553],1
isoprene,C005059,"[29233013, 20085309, 23840410]",3
isoprenoid,D013729,"[20951024, 23995934, 27422837, 22036764, 22140437, 20067528, 21979787, 20085309, 23148661, 23840410, 16952943]",11
isoprenoids,D013729,"[27422837, 26578069, 27898308, 22036764, 20067528, 20085309, 22425978, 23840410, 21610729]",9
isopropylamine,C035263,[22981745],1
isothiocyanate,C037152,[24029746],1
isothiocyanates,D017879,[19554039],1
isovaleric acid,C008216,[11823198],1
isovitexin,C049772,[21782215],1
iturin A,C013579,"[25764969, 26893022]",2
jadomycin,C587310,[25554073],1
jamaicamide A,C494603,[26578313],1
jamaicamide B,C494604,[18493654],1
jamaicamides A,C494603,[26222584],1
jasmonate,C011006,[11402212],1
jasmonic acid,C011006,[11402212],1
kaempferide,C449720,[27487455],1
kaempferol,C006552,"[18758096, 24070833]",2
kaempferol 3-O-rutinoside,C492687,[27514988],1
kalafungin,C013079,[26195520],1
kanamycin,D007612,[241738],1
ketoconazole,D007654,"[29049321, 20606771]",2
ketolide,D048628,[11162229],1
ketone,D007659,"[9477250, 25525717]",2
ketones,D007659,[9477250],1
kiamycin,C575073,[22536997],1
kirromycin,C008536,[8140285],1
kocurin,C583478,[23538871],1
kojic acid,C011890,[24948950],1
kynurenine,D007737,"[21965577, 25970745]",2
l-alanyl-l-1-aminoethylphosphonic acid,C006437,[525987],1
l-aspartate,D001224,[21651627],1
l-fucose,D005643,[16436433],1
lactam,D007769,[21364940],1
lactate,D019344,"[29889418, 20456526, 27048394, 24151782, 27005411]",5
lactic acid,D019344,"[26189714, 19919120, 27192145, 19441818, 20185187, 20456526, 11934033, 28830019, 25421573, 19548685, 24416282, 21742008, 25432345, 12382680, 26040909, 24147072, 29053003]",17
lactobionic acid,C005608,[22777280],1
lactone,D007783,"[10656576, 11720540, 17499938, 24906569]",4
lactones,D007783,"[11571152, 8682719, 28846625, 23654282]",4
lahorenoic acid A,C580645,[27974729],1
landomycin E,C113593,[21768346],1
lanthanum,D007811,[20551989],1
lanthionine,C001520,"[20479271, 12382680, 24147072, 28630351]",4
lasalocid,D007832,[6400479],1
latamoxef,D009070,[8784740],1
latex,D007840,[28392457],1
lead acetate,C008261,[25574657],1
leoligin,C542788,[24932777],1
leucine,D007930,"[26307771, 19919120, 24595070, 24416282, 18782083, 24317473, 2907142, 16751541, 11823198, 16952943]",10
leuco crystal violet,C475159,[22653947],1
levamisole,D007978,[15892706],1
lignan,D017705,"[28784988, 24932777]",2
lignans,D017705,"[24932777, 23255442]",2
lignin,D008031,"[28597254, 28784988, 22475000, 25101956, 22671027]",5
lignins,D008031,[22475000],1
lignocellulose,C036909,"[24069601, 25639595]",2
limonene,D000077222,"[23250224, 21830789]",2
limonoids,D036701,[20864476],1
lincomycin,D008034,"[25819962, 993114, 29038257]",3
linezolid,D000069349,[24866700],1
lipid,D008055,"[22985125, 28597254, 29240841, 14643798, 23085953, 19968554, 22359583, 25715784, 26866478, 19018016, 22123943]",11
lipids,D008055,"[25171330, 3772735, 24759645, 25036635, 25769826, 25690418, 17132268, 14643798, 21498757, 10766021, 26831708, 23002228, 19362644]",13
lipopeptide,D055666,[26704531],1
lipopeptides,D055666,"[18789127, 28846625, 26831708, 21952539, 25764969, 24866700, 26893022, 27049393]",8
lipopolysaccharide,D008070,"[29094115, 23828520, 28936425, 23002228]",4
lipopolysaccharides,D008070,"[14727096, 3882051]",2
lithium,D008094,[23564162],1
lithocholic acid,D008095,[28360029],1
lobaric acid,C104417,[18421431],1
lobetyolin,C521561,[27723315],1
lomofungin,C100203,[25502821],1
lovastatin,D008148,"[25835225, 14676319, 23084946]",3
luminal,D010634,[26272259],1
luminmycin A,C577387,[23095088],1
luminmycin D,C587736,[23095088],1
lupane,C480546,[28407906],1
lupeol,C010480,[27231874],1
luteolin 7-O-glucoside,C529813,[26931616],1
lycopene,D000077276,[27179537],1
lyngbic acid,C000612874,[26495995],1
lysine,D008239,"[27005411, 17997835, 28288097]",3
macrolide,D018942,"[22777252, 26153129, 24299107, 25646964, 21060211, 10066498, 14727096, 1770350, 23350846, 25301375, 20133795, 26564143, 26718561, 20336498, 11162229, 20060537, 28942849]",17
macrolides,D018942,"[28785779, 28717220, 10513843, 11178336, 26809052, 11162229, 27554496]",7
madurahydroxylactone,C465231,[10656576],1
magnesium,D008274,[18688611],1
magnesium chloride,D015636,[21551335],1
magnetite,D052203,[25603340],1
malate,C030298,[7812438],1
maleic anhydrides,D008299,[7812438],1
malic acid,C030298,[19441818],1
malleilactone,C577165,"[28320949, 29087175]",2
malonate,C030290,"[20470251, 3882051]",2
malonyl-CoA,D008316,[22112266],1
malonyl-coenzyme-A,D008316,[10476972],1
maltose,D008320,[25205608],1
mancozeb,C013099,[19577444],1
mandelonitrile,C045516,[25421573],1
manganese,D008345,[164997],1
manganese sulfate,C039798,[12068577],1
mangiferin,C013592,[19678535],1
mannitol,D008353,"[25970559, 24445449, 24906569, 24588386, 16579461]",5
mannose,D008358,"[25970559, 16436433, 24690912, 27129958]",4
manoalide,C045673,"[24825299, 17952508]",2
manumycin,C054474,"[7764965, 24838618, 21551298]",3
medermycin,C013104,[26195520],1
melanin,D008543,"[11572948, 15644924, 10476972, 28035958]",4
melanins,D008543,"[21672958, 10476972]",2
menaquinone,D024482,[22753528],1
menaquinones,D024482,[24690912],1
menthone,C019466,[21843946],1
mercury,D008628,[22653947],1
meropenem,D000077731,[25737024],1
metal,D008670,"[20373502, 18704271, 27730337, 29103733, 19854857, 17132268, 27110673, 28267874, 28078980, 28567675, 23435890, 20106660, 26452553, 18544530, 24453828, 27966085, 20423905, 20236162, 28623383]",19
methane,D008697,"[29018917, 27159387, 28432098, 29233013, 10841973]",5
methanethiol,C005231,[3541827],1
methanol,D000432,"[27754712, 24663118, 27166532, 25879877, 10409050, 24301768, 28603127, 25431341, 25656264, 24599183, 14643798, 28648623, 21796935, 18782083, 25222744, 23033653, 12918917, 28219296, 21294820, 23775636, 20580869, 18605256, 23311635, 16680458, 27842527, 15740876, 23885762, 23342508, 27033000]",29
methicillin,D008712,"[21768346, 20411112, 8585741, 24130838, 28044276, 24595070, 28785779, 22611356, 23979826, 29216824, 28535606, 21744110, 22170780, 23157252, 23791620, 26001558, 29069388, 26975378, 23374132, 29278781, 26061478, 25205608, 25284750, 24450337]",24
methionine,D008715,"[15150245, 16810258, 18534010, 3541827]",4
methoxylamine,C005214,[17344339],1
"methyl (Z)-3-(3,4-dihydroxyphenyl)-2-formamidoacrylate",C000607674,[26670415],1
methyl 3-hydroxymyristate,C000609565,[28722830],1
methyl glycosides,D008759,[1399853],1
methyl jasmonate,C072239,"[25523369, 11402212, 24932777]",3
methyl thiocyanate,C047435,[28358818],1
methyl-2-(2'-hydroxyphenyl)-2-oxazoline-4-carboxylate,C109720,[9402996],1
methyl-jasmonate,C072239,[22425978],1
methylamines,D008744,[8882807],1
methylbenzene,D014050,[26905826],1
methylene,C030011,[25097259],1
methylenomycin A,C014097,[7229612],1
methylmalonate,C005230,[20470251],1
methylmalonyl-CoA,C015357,[17185221],1
metronidazole,D008795,[22763704],1
mevalonate,D008798,"[3772735, 22985125, 27422837, 26578069, 18722414, 20067528, 20085309, 23148661, 23840410, 16952943, 3882051]",11
mevinolin,D008148,[6400479],1
mevinolinic acid,C040295,[6400479],1
miconazole,D008825,[29049321],1
microcyclamide,C417936,[25173836],1
microcyclamide 7806A,C417936,[25173836],1
microcystin,C078588,"[29240841, 28730710, 25325384, 25514094, 25381232, 28944994, 23648386, 28283295, 26335778]",9
microcystin-LR,C057862,"[29240841, 25381232]",2
microcystins,D052998,"[29240841, 15184565, 24275084, 25980449, 21287346, 25514094, 25173836, 15294785]",8
milbemycin,C027837,[24299107],1
milbemycins,C027837,[24299107],1
mithramycin,D008926,[29196786],1
mithramycin A,C066851,[29196786],1
mitomycin C,D016685,[21849072],1
mm-CoA,C015357,[17185221],1
moenomycin,C419802,[20624727],1
monacolin K,D008148,[19754167],1
monactin,C100287,"[21585551, 27486824]",2
monensin,D008985,"[22871941, 6400479, 9933918]",3
monensins,D008985,[9933918],1
monobromobimane,C028381,[18629474],1
monosaccharides,D009005,[19919120],1
monoterpene,D039821,"[25655927, 15141066, 21843946]",3
monoterpenes,D039821,"[27231874, 21843946]",2
monoterpenoid,D039821,[24206732],1
morphinan,D009019,[27548127],1
morphine,D009020,[22179145],1
mupirocin,D016712,[8585741],1
mutanobactin A,C555906,[20852771],1
mycolic acid,D009171,"[21097597, 26404321, 28442735, 30452176]",4
mycolic acids,D009171,[15958783],1
mycothiol,C089265,[18629474],1
myxochromide A3,C532936,[18803421],1
myxothiazol,C030517,"[18555551, 11587850, 17185221, 16997979]",4
myxovirescin,C035536,"[21764930, 24425771, 14651865]",3
n-Hexane,C026385,[29084681],1
n-butanol,D020001,"[29257362, 25143015, 12068577]",3
n-decane,C012867,[27538581],1
n-hexane,C026385,"[27757508, 26186031, 27538581]",3
n-hexanes,C026385,[23342508],1
nanchangmycin,C452419,[24299107],1
naphthalene,C031721,[28264640],1
naphthomevalin,C069919,[1906453],1
